SubArea,Year,Quarter,Long ,Lat
36F3,2015,1,3.5,53.75
36F4,2015,1,4.5,53.75
36F5,2015,1,5.5,53.75
36F6,2015,1,6.5,53.75
36F7,2015,1,7.5,53.75
35F0,2015,1,0.5,53.25
35F1,2015,1,1.5,53.25
35F2,2015,1,2.5,53.25
35F3,2015,1,3.5,53.25
35F4,2015,1,4.5,53.25
35F5,2015,1,5.5,53.25
35F6,2015,1,6.5,53.25
35F7,2015,1,7.5,53.25
34F0,2015,1,0.5,52.75
34F1,2015,1,1.5,52.75
34F2,2015,1,2.5,52.75
34F3,2015,1,3.5,52.75
34F4,2015,1,4.5,52.75
34F5,2015,1,5.5,52.75
33F1,2015,1,1.5,52.25
33F2,2015,1,2.5,52.25
33F3,2015,1,3.5,52.25
33F4,2015,1,4.5,52.25
33F5,2015,1,5.5,52.25
32F0,2015,1,0.5,51.75
32F1,2015,1,1.5,51.75
32F2,2015,1,2.5,51.75
32F3,2015,1,3.5,51.75
32F4,2015,1,4.5,51.75
31F0,2015,1,0.5,51.25
31F1,2015,1,1.5,51.25
31F2,2015,1,2.5,51.25
31F3,2015,1,3.5,51.25
31F4,2015,1,4.5,51.25
